# scene=cradle krb=on dt=0.0166667 seconds=600 sample_every=60 e0=13.2716
t_s,ke,pe,e_total,e_over_e0,peak_height
0,0,13.2716,13.2716,1,1.35425
1,13.0866,-0.0914974,12.9951,0.979164,0
2,0.316848,12.5851,12.9019,0.972142,1.31219
3,12.3698,0.316992,12.6868,0.955936,0.0602823
4,1.33234,11.4422,12.7746,0.962545,1.22063
5,10.9669,1.46358,12.4304,0.936617,0.204639
6,2.88617,9.93155,12.8177,0.965798,1.06778
7,9.04378,3.38438,12.4282,0.936445,0.402299
8,4.55908,8.2308,12.7899,0.9637,0.894936
9,7.13663,5.30023,12.4369,0.937101,0.598051
10,6.6289,6.19128,12.8202,0.965983,0.689167
11,5.07914,7.3931,12.4722,0.939767,0.807932
12,8.96233,3.89757,12.8599,0.968976,0.453791
13,3.00775,9.47799,12.4857,0.940784,1.02382
14,10.9468,1.90516,12.852,0.968379,0.25133
15,1.4527,11.0812,12.5339,0.94441,1.18936
16,12.3417,0.485301,12.827,0.966495,0.107568
17,0.519854,12.0982,12.618,0.950751,1.29105
18,13.2581,-0.426851,12.8312,0.966817,0.0121992
19,0.0287023,12.6184,12.6471,0.95294,1.34126
20,13.1841,-0.69275,12.4914,0.941208,-0.0123267
21,0.21273,12.4895,12.7022,0.957095,1.32956
22,12.6225,-0.101644,12.5209,0.943431,0.0437344
23,1.08155,11.7294,12.811,0.965288,1.25093
24,11.375,1.11123,12.4863,0.940823,0.16907
25,2.26526,10.4778,12.743,0.960171,1.12996
26,9.81219,2.72935,12.5415,0.944988,0.331937
27,4.01509,8.8406,12.8557,0.968659,0.956996
28,7.78502,4.70937,12.4944,0.941435,0.535557
29,6.26032,6.63786,12.8982,0.97186,0.731078
30,5.49206,6.98764,12.4797,0.940329,0.771136
31,8.46969,4.46397,12.9337,0.974534,0.508461
32,3.47409,9.07358,12.5477,0.945451,0.980824
33,10.3237,2.59637,12.92,0.973508,0.316848
34,1.93799,10.656,12.594,0.94894,1.14054
35,11.9576,0.934996,12.8926,0.971438,0.150095
36,0.756401,11.8644,12.6208,0.950957,1.26503
37,13.1741,-0.262817,12.9113,0.97285,0.0247555
38,0.0879294,12.5819,12.6698,0.954656,1.3392
39,13.2243,-0.658354,12.566,0.946828,-0.0124099
40,0.120863,12.619,12.7399,0.959934,1.34255
41,12.8606,-0.320961,12.5396,0.944843,0.0217876
42,0.69466,12.0499,12.7445,0.960283,1.28754
43,11.8968,0.616282,12.5131,0.942847,0.120002
44,1.84169,10.9455,12.7872,0.963501,1.17482
45,10.3324,2.1628,12.4952,0.941499,0.277663
46,3.69496,9.19363,12.8886,0.971138,0.993078
47,8.18953,4.3007,12.4902,0.941122,0.49544
48,5.75977,7.18667,12.9464,0.975497,0.786434
49,6.02084,6.52855,12.5494,0.94558,0.721328
50,7.73029,5.16157,12.8919,0.971384,0.584676
51,4.13029,8.44196,12.5722,0.947302,0.915677
52,9.76865,3.16563,12.9343,0.97458,0.375636
