# scene=cradle krb=off dt=0.0166667 seconds=600 sample_every=60 e0=13.2716
t_s,ke,pe,e_total,e_over_e0,peak_height
0,0,13.2716,13.2716,1,1.35425
1,13.0866,-0.0914998,12.9951,0.979166,0
2,0.31655,12.852,13.1685,0.992232,1.31143
3,12.3632,0.590422,12.9536,0.97604,0.060186
4,1.28406,11.941,13.225,0.996489,1.21845
5,10.9624,2.00875,12.9711,0.977358,0.204729
6,2.83029,10.4483,13.2786,1.00052,1.06606
7,9.04135,3.91521,12.9566,0.976259,0.399135
8,4.53195,8.75977,13.2917,1.00151,0.89379
9,7.14246,5.81826,12.9607,0.976573,0.593582
10,6.57196,6.7477,13.3197,1.00362,0.688447
11,5.0835,7.8781,12.9616,0.976639,0.803781
12,8.86371,4.47504,13.3387,1.00506,0.456202
13,3.02962,9.98082,13.0104,0.980319,1.01821
14,10.8443,2.48672,13.331,1.00447,0.253318
15,1.4684,11.5767,13.0452,0.982935,1.18116
16,12.2496,1.10384,13.3535,1.00617,0.113523
17,0.506114,12.579,13.0852,0.985949,1.28355
18,13.171,0.172696,13.3437,1.00543,0.0227174
19,0.0343962,13.0884,13.1227,0.988781,1.33556
20,13.1362,-0.115033,13.0211,0.981125,0.000201225
21,0.204205,12.9787,13.1829,0.993312,1.32437
22,12.591,0.41442,13.0054,0.979938,0.0409032
23,1.01589,12.2311,13.247,0.998145,1.24798
24,11.3618,1.63405,12.9958,0.979218,0.165104
25,2.22346,11.0622,13.2856,1.00105,1.12861
26,9.7896,3.20602,12.9956,0.979202,0.326095
27,3.92963,9.38521,13.3148,1.00326,0.957295
28,7.80513,5.15604,12.9612,0.976607,0.525208
29,6.12637,7.21675,13.3431,1.00539,0.735371
30,5.54061,7.44404,12.9847,0.978376,0.758451
31,8.33074,5.04188,13.3726,1.00761,0.512789
32,3.51866,9.52413,13.0428,0.982756,0.970963
33,10.1838,3.18975,13.3735,1.00768,0.324086
34,1.98707,11.0669,13.054,0.983602,1.1289
35,11.8265,1.53554,13.362,1.00681,0.155694
36,0.791228,12.2947,13.0859,0.986008,1.2544
37,13.0339,0.347889,13.3818,1.0083,0.0371107
38,0.112718,13.0368,13.1496,0.990802,1.33029
39,13.1532,-0.104278,13.0489,0.983219,0.00126624
40,0.121347,13.0975,13.2189,0.996026,1.33654
41,12.8213,0.222992,13.0443,0.982872,0.0190477
42,0.666578,12.5911,13.2577,0.998951,1.28477
43,11.893,1.11746,13.0104,0.980318,0.111142
44,1.78764,11.5019,13.2896,1.00135,1.17331
45,10.3562,2.64563,13.0018,0.979667,0.267298
46,3.55394,9.79518,13.3491,1.00584,0.998373
47,8.26393,4.76067,13.0246,0.981385,0.482692
48,5.60143,7.786,13.3874,1.00872,0.792337
49,6.10481,6.92417,13.029,0.981717,0.703899
50,7.56286,5.82697,13.3898,1.00891,0.592206
51,4.22442,8.83343,13.0578,0.983891,0.89985
52,9.59884,3.7833,13.3821,1.00833,0.383087
53,2.4693,10.5907,13.06,0.984051,1.07973
54,11.5258,1.87739,13.4032,1.00991,0.187422
55,1.0341,12.089,13.1231,0.988806,1.23305
56,12.837,0.601718,13.4387,1.01259,0.0591476
57,0.243421,12.9507,13.1941,0.994155,1.32146
58,13.4058,-0.0385733,13.3672,1.0072,0.00497198
59,0.0601416,13.1724,13.2326,0.997055,1.3443
60,13.0453,0.048931,13.0943,0.986635,0.00127935
61,0.452728,12.8142,13.2669,0.999645,1.30754
62,12.2579,0.795627,13.0536,0.983568,0.0760683
63,1.54424,11.7894,13.3336,1.00467,1.20233
64,10.7302,2.31656,13.0467,0.983052,0.230426
65,3.12711,10.2524,13.3795,1.00813,1.04438
66,8.80861,4.27065,13.0793,0.985505,0.430247
67,4.87232,8.54028,13.4126,1.01062,0.869032
68,6.88422,6.19721,13.0814,0.985669,0.628533
69,6.94077,6.47158,13.4124,1.0106,0.656826
70,4.82925,8.24999,13.0792,0.985503,0.839046
71,9.21939,4.22216,13.4416,1.0128,0.425069
72,2.83474,10.2822,13.1169,0.988343,1.04713
73,11.1565,2.31569,13.4722,1.01511,0.229193
74,1.35071,11.8367,13.1874,0.993654,1.20684
75,12.4903,1.00028,13.4906,1.0165,0.097106
76,0.465618,12.7622,13.2279,0.996702,1.3022
77,13.3273,0.137932,13.4652,1.01458,0.0154045
78,0.0829631,13.185,13.268,0.999726,1.34554
79,13.1702,-0.0393759,13.1308,0.989389,0.00198913
80,0.367503,12.9711,13.3386,1.00505,1.32356
81,12.5027,0.621432,13.1241,0.988882,0.0541897
82,1.27609,12.137,13.413,1.01066,1.23765
83,11.1791,1.97908,13.1582,0.99145,0.19291
