# scene=floor-bounce krb=on dt=0.0166667 seconds=600 sample_every=60 e0=90 velocity_iterations=8 position_iterations=3 meter=translational engine=gearbox2d
engine,t_s,e_over_e0
gearbox2d,0,1
gearbox2d,1,0.990741
gearbox2d,2,1.00633
gearbox2d,3,0.997068
gearbox2d,4,0.987809
gearbox2d,5,1.0037
gearbox2d,6,0.994444
gearbox2d,7,1.01003
gearbox2d,8,1.00077
gearbox2d,9,0.991512
gearbox2d,10,1.00741
gearbox2d,11,0.998148
gearbox2d,12,0.988889
gearbox2d,13,1.00448
gearbox2d,14,0.995216
gearbox2d,15,1.0108
gearbox2d,16,1.00154
gearbox2d,17,0.992283
gearbox2d,18,1.00787
gearbox2d,19,0.998611
gearbox2d,20,0.989352
gearbox2d,21,1.00525
gearbox2d,22,0.995988
gearbox2d,23,1.01157
gearbox2d,24,1.00231
gearbox2d,25,0.993055
gearbox2d,26,1.00864
gearbox2d,27,0.999382
gearbox2d,28,0.990123
gearbox2d,29,1.00571
gearbox2d,30,0.99645
gearbox2d,31,1.01235
gearbox2d,32,1.00309
gearbox2d,33,0.993827
gearbox2d,34,1.00941
gearbox2d,35,1.00015
gearbox2d,36,0.990895
gearbox2d,37,1.00648
gearbox2d,38,0.997222
gearbox2d,39,0.987963
gearbox2d,40,1.00355
gearbox2d,41,0.99429
gearbox2d,42,1.00988
gearbox2d,43,1.00062
gearbox2d,44,0.991358
gearbox2d,45,1.00694
gearbox2d,46,0.997685
gearbox2d,47,0.988427
gearbox2d,48,1.00432
gearbox2d,49,0.995062
gearbox2d,50,1.01065
gearbox2d,51,1.00139
gearbox2d,52,0.992129
gearbox2d,53,1.00772
gearbox2d,54,0.998457
gearbox2d,55,0.989198
gearbox2d,56,1.00478
gearbox2d,57,0.995524
gearbox2d,58,1.01142
gearbox2d,59,1.00216
gearbox2d,60,0.992901
gearbox2d,61,1.00849
gearbox2d,62,0.999228
gearbox2d,63,0.989969
gearbox2d,64,1.00556
gearbox2d,65,0.996296
gearbox2d,66,1.01188
gearbox2d,67,1.00262
gearbox2d,68,0.993364
gearbox2d,69,1.00895
gearbox2d,70,0.999691
gearbox2d,71,0.990432
gearbox2d,72,1.00602
gearbox2d,73,0.996759
gearbox2d,74,0.987501
gearbox2d,75,1.00339
gearbox2d,76,0.994136
gearbox2d,77,1.00972
gearbox2d,78,1.00046
gearbox2d,79,0.991203
gearbox2d,80,1.00679
gearbox2d,81,0.997531
gearbox2d,82,0.988272
gearbox2d,83,1.00386
gearbox2d,84,0.994598
gearbox2d,85,1.01049
gearbox2d,86,1.00123
gearbox2d,87,0.991975
gearbox2d,88,1.00756
gearbox2d,89,0.998302
gearbox2d,90,0.989043
gearbox2d,91,1.00463
gearbox2d,92,0.99537
gearbox2d,93,1.01096
gearbox2d,94,1.0017
gearbox2d,95,0.992438
gearbox2d,96,1.00802
gearbox2d,97,0.998765
gearbox2d,98,0.989506
gearbox2d,99,1.00509
gearbox2d,100,0.995833
gearbox2d,101,1.01173
gearbox2d,102,1.00247
gearbox2d,103,0.993209
gearbox2d,104,1.0088
gearbox2d,105,0.999537
gearbox2d,106,0.990278
gearbox2d,107,1.00586
gearbox2d,108,0.996605
gearbox2d,109,1.01219
gearbox2d,110,1.00293
gearbox2d,111,0.993672
gearbox2d,112,1.00957
gearbox2d,113,1.00031
gearbox2d,114,0.991049
gearbox2d,115,1.00664
gearbox2d,116,0.997376
gearbox2d,117,0.988117
gearbox2d,118,1.0037
gearbox2d,119,0.994444
gearbox2d,120,1.01003
gearbox2d,121,1.00077
gearbox2d,122,0.991512
gearbox2d,123,1.0071
gearbox2d,124,0.997839
gearbox2d,125,0.988581
gearbox2d,126,1.00417
gearbox2d,127,0.994907
gearbox2d,128,1.0108
gearbox2d,129,1.00154
gearbox2d,130,0.992284
gearbox2d,131,1.00787
gearbox2d,132,0.998611
gearbox2d,133,0.989352
gearbox2d,134,1.00494
gearbox2d,135,0.995679
gearbox2d,136,1.01127
gearbox2d,137,1.00201
gearbox2d,138,0.992746
gearbox2d,139,1.00864
gearbox2d,140,0.999382
gearbox2d,141,0.990124
gearbox2d,142,1.00571
gearbox2d,143,0.99645
gearbox2d,144,1.01204
gearbox2d,145,1.00278
gearbox2d,146,0.993518
gearbox2d,147,1.0091
gearbox2d,148,0.999845
gearbox2d,149,0.990586
gearbox2d,150,1.00617
gearbox2d,151,0.996913
gearbox2d,152,0.987655
gearbox2d,153,1.00324
gearbox2d,154,0.993981
gearbox2d,155,1.00988
gearbox2d,156,1.00062
gearbox2d,157,0.991358
gearbox2d,158,1.00694
gearbox2d,159,0.997685
gearbox2d,160,0.988426
gearbox2d,161,1.00401
gearbox2d,162,0.994753
gearbox2d,163,1.01034
gearbox2d,164,1.00108
gearbox2d,165,0.991821
gearbox2d,166,1.00772
gearbox2d,167,0.998456
gearbox2d,168,0.989198
gearbox2d,169,1.00478
gearbox2d,170,0.995524
gearbox2d,171,1.01111
gearbox2d,172,1.00185
gearbox2d,173,0.992592
gearbox2d,174,1.00818
gearbox2d,175,0.998919
gearbox2d,176,0.989661
