# scene=newtons-cradle krb=on dt=0.0166667 seconds=600 sample_every=60 e0=13.2716 velocity_iterations=8 position_iterations=3 meter=translational e0=pe_only engine=gearbox2d
engine,t_s,e_over_e0
gearbox2d,0,1
gearbox2d,1,0.979165
gearbox2d,2,0.972143
gearbox2d,3,0.955937
gearbox2d,4,0.96255
gearbox2d,5,0.936622
gearbox2d,6,0.966021
gearbox2d,7,0.938502
gearbox2d,8,0.963657
gearbox2d,9,0.935305
gearbox2d,10,0.967201
gearbox2d,11,0.940975
gearbox2d,12,0.96763
gearbox2d,13,0.938488
gearbox2d,14,0.970604
gearbox2d,15,0.944961
gearbox2d,16,0.969263
gearbox2d,17,0.950322
gearbox2d,18,0.968318
gearbox2d,19,0.950578
gearbox2d,20,0.944034
gearbox2d,21,0.957672
gearbox2d,22,0.943885
gearbox2d,23,0.965312
gearbox2d,24,0.94314
gearbox2d,25,0.963924
gearbox2d,26,0.942774
gearbox2d,27,0.964374
gearbox2d,28,0.938924
gearbox2d,29,0.971253
gearbox2d,30,0.940736
gearbox2d,31,0.970983
gearbox2d,32,0.944107
gearbox2d,33,0.972044
gearbox2d,34,0.948952
gearbox2d,35,0.970874
gearbox2d,36,0.950267
gearbox2d,37,0.970561
gearbox2d,38,0.955154
gearbox2d,39,0.946231
gearbox2d,40,0.956572
gearbox2d,41,0.943812
gearbox2d,42,0.963167
gearbox2d,43,0.941421
gearbox2d,44,0.963709
gearbox2d,45,0.943172
gearbox2d,46,0.972504
gearbox2d,47,0.945129
gearbox2d,48,0.972183
gearbox2d,49,0.947333
gearbox2d,50,0.975419
gearbox2d,51,0.942765
gearbox2d,52,0.972029
gearbox2d,53,0.948002
gearbox2d,54,0.975231
gearbox2d,55,0.952917
gearbox2d,56,0.973266
gearbox2d,57,0.956391
gearbox2d,58,0.970621
gearbox2d,59,0.96075
gearbox2d,60,0.9448
gearbox2d,61,0.960906
gearbox2d,62,0.945578
gearbox2d,63,0.967469
gearbox2d,64,0.944135
gearbox2d,65,0.973059
gearbox2d,66,0.946806
gearbox2d,67,0.975891
gearbox2d,68,0.945759
gearbox2d,69,0.972114
gearbox2d,70,0.948164
gearbox2d,71,0.974908
gearbox2d,72,0.947304
gearbox2d,73,0.975311
gearbox2d,74,0.952692
gearbox2d,75,0.973611
gearbox2d,76,0.956721
gearbox2d,77,0.971088
gearbox2d,78,0.959436
gearbox2d,79,0.950884
gearbox2d,80,0.962787
gearbox2d,81,0.946546
gearbox2d,82,0.970386
gearbox2d,83,0.947481
gearbox2d,84,0.969561
gearbox2d,85,0.947873
gearbox2d,86,0.969664
gearbox2d,87,0.944046
gearbox2d,88,0.975842
gearbox2d,89,0.946311
gearbox2d,90,0.98006
gearbox2d,91,0.950644
gearbox2d,92,0.973319
gearbox2d,93,0.953283
gearbox2d,94,0.97442
gearbox2d,95,0.954038
gearbox2d,96,0.975344
gearbox2d,97,0.960013
gearbox2d,98,0.949901
gearbox2d,99,0.965119
gearbox2d,100,0.952014
gearbox2d,101,0.968142
gearbox2d,102,0.948431
gearbox2d,103,0.971716
gearbox2d,104,0.946718
gearbox2d,105,0.973246
gearbox2d,106,0.945672
gearbox2d,107,0.97952
gearbox2d,108,0.950037
gearbox2d,109,0.976316
gearbox2d,110,0.94818
gearbox2d,111,0.977066
gearbox2d,112,0.952228
gearbox2d,113,0.980147
gearbox2d,114,0.956559
gearbox2d,115,0.978983
gearbox2d,116,0.961231
gearbox2d,117,0.953923
gearbox2d,118,0.963881
gearbox2d,119,0.95144
gearbox2d,120,0.966033
gearbox2d,121,0.946576
gearbox2d,122,0.9725
gearbox2d,123,0.947424
gearbox2d,124,0.978597
gearbox2d,125,0.949891
gearbox2d,126,0.977228
gearbox2d,127,0.95232
gearbox2d,128,0.978992
gearbox2d,129,0.951052
gearbox2d,130,0.978703
gearbox2d,131,0.955118
gearbox2d,132,0.980006
gearbox2d,133,0.95731
gearbox2d,134,0.978681
gearbox2d,135,0.960302
gearbox2d,136,0.976434
gearbox2d,137,0.963322
gearbox2d,138,0.951756
gearbox2d,139,0.967574
gearbox2d,140,0.950795
gearbox2d,141,0.973876
gearbox2d,142,0.952448
gearbox2d,143,0.973607
gearbox2d,144,0.951536
gearbox2d,145,0.978369
gearbox2d,146,0.951742
gearbox2d,147,0.978062
gearbox2d,148,0.951333
gearbox2d,149,0.982515
gearbox2d,150,0.955074
gearbox2d,151,0.978144
gearbox2d,152,0.9559
gearbox2d,153,0.977892
gearbox2d,154,0.956482
gearbox2d,155,0.980576
gearbox2d,156,0.963658
gearbox2d,157,0.952932
gearbox2d,158,0.968412
gearbox2d,159,0.954963
gearbox2d,160,0.971125
gearbox2d,161,0.950887
gearbox2d,162,0.974744
gearbox2d,163,0.952221
gearbox2d,164,0.980432
gearbox2d,165,0.952357
gearbox2d,166,0.980763
gearbox2d,167,0.951231
gearbox2d,168,0.979513
gearbox2d,169,0.953608
gearbox2d,170,0.980133
gearbox2d,171,0.955936
gearbox2d,172,0.983607
gearbox2d,173,0.961283
gearbox2d,174,0.980495
gearbox2d,175,0.9651
gearbox2d,176,0.955738
gearbox2d,177,0.965433
gearbox2d,178,0.953508
gearbox2d,179,0.971077
gearbox2d,180,0.948694
gearbox2d,181,0.977201
gearbox2d,182,0.952868
gearbox2d,183,0.980749
gearbox2d,184,0.953829
gearbox2d,185,0.978409
gearbox2d,186,0.952437
gearbox2d,187,0.982465
gearbox2d,188,0.954582
gearbox2d,189,0.981093
gearbox2d,190,0.956831
gearbox2d,191,0.983181
gearbox2d,192,0.963708
gearbox2d,193,0.982573
gearbox2d,194,0.963984
gearbox2d,195,0.958066
gearbox2d,196,0.966269
gearbox2d,197,0.954349
gearbox2d,198,0.971509
gearbox2d,199,0.951719
gearbox2d,200,0.979568
gearbox2d,201,0.952873
gearbox2d,202,0.978073
gearbox2d,203,0.951211
gearbox2d,204,0.978231
gearbox2d,205,0.949633
gearbox2d,206,0.983803
gearbox2d,207,0.954049
gearbox2d,208,0.98419
gearbox2d,209,0.957345
gearbox2d,210,0.982111
gearbox2d,211,0.959078
gearbox2d,212,0.977907
gearbox2d,213,0.959226
gearbox2d,214,0.955805
gearbox2d,215,0.9689
gearbox2d,216,0.955466
gearbox2d,217,0.977617
gearbox2d,218,0.954116
gearbox2d,219,0.979775
gearbox2d,220,0.955851
gearbox2d,221,0.982095
gearbox2d,222,0.955667
gearbox2d,223,0.980985
gearbox2d,224,0.96124
gearbox2d,225,0.980915
gearbox2d,226,0.954547
gearbox2d,227,0.983437
gearbox2d,228,0.956121
gearbox2d,229,0.984465
gearbox2d,230,0.962846
gearbox2d,231,0.989032
gearbox2d,232,0.968446
gearbox2d,233,0.958312
gearbox2d,234,0.970694
gearbox2d,235,0.960419
gearbox2d,236,0.974271
gearbox2d,237,0.961232
gearbox2d,238,0.979163
gearbox2d,239,0.957251
gearbox2d,240,0.984306
gearbox2d,241,0.953909
gearbox2d,242,0.986861
gearbox2d,243,0.957917
gearbox2d,244,0.988175
gearbox2d,245,0.960879
gearbox2d,246,0.995609
gearbox2d,247,0.963785
gearbox2d,248,0.988698
gearbox2d,249,0.971245
gearbox2d,250,0.988166
gearbox2d,251,0.967661
gearbox2d,252,0.959926
gearbox2d,253,0.972804
gearbox2d,254,0.959429
gearbox2d,255,0.982869
gearbox2d,256,0.962972
gearbox2d,257,0.987531
gearbox2d,258,0.963972
gearbox2d,259,0.990027
gearbox2d,260,0.960944
gearbox2d,261,0.98894
gearbox2d,262,0.965116
gearbox2d,263,0.992104
gearbox2d,264,0.964181
gearbox2d,265,0.992836
gearbox2d,266,0.964282
gearbox2d,267,0.99175
gearbox2d,268,0.97062
gearbox2d,269,0.997059
gearbox2d,270,0.97537
gearbox2d,271,0.970188
gearbox2d,272,0.979688
gearbox2d,273,0.967189
gearbox2d,274,0.988715
gearbox2d,275,0.9674
gearbox2d,276,0.993114
gearbox2d,277,0.971211
gearbox2d,278,0.999247
gearbox2d,279,0.972199
gearbox2d,280,1.00048
gearbox2d,281,0.974238
gearbox2d,282,1.00873
gearbox2d,283,0.981967
gearbox2d,284,1.01225
gearbox2d,285,0.989248
gearbox2d,286,1.01918
gearbox2d,287,0.991203
gearbox2d,288,1.01979
gearbox2d,289,1.00068
gearbox2d,290,0.991577
gearbox2d,291,1.00854
gearbox2d,292,0.993741
gearbox2d,293,1.01865
gearbox2d,294,0.996018
gearbox2d,295,1.02623
gearbox2d,296,1.00201
gearbox2d,297,1.03482
gearbox2d,298,1.00533
gearbox2d,299,1.03938
gearbox2d,300,1.00988
gearbox2d,301,1.04616
gearbox2d,302,1.01713
gearbox2d,303,1.05094
gearbox2d,304,1.02482
gearbox2d,305,1.0555
gearbox2d,306,1.03278
gearbox2d,307,1.02712
gearbox2d,308,1.03993
gearbox2d,309,1.02784
gearbox2d,310,1.05398
gearbox2d,311,1.0328
gearbox2d,312,1.061
gearbox2d,313,1.03944
gearbox2d,314,1.06735
gearbox2d,315,1.04157
gearbox2d,316,1.07538
gearbox2d,317,1.04645
gearbox2d,318,1.0793
gearbox2d,319,1.05089
gearbox2d,320,1.08228
gearbox2d,321,1.0554
gearbox2d,322,1.08785
gearbox2d,323,1.06189
gearbox2d,324,1.09069
gearbox2d,325,1.06757
gearbox2d,326,1.06036
gearbox2d,327,1.05454
gearbox2d,328,1.04114
gearbox2d,329,1.05476
gearbox2d,330,1.03646
gearbox2d,331,1.05319
gearbox2d,332,1.02787
gearbox2d,333,1.05579
gearbox2d,334,1.02854
gearbox2d,335,1.06131
gearbox2d,336,1.02894
gearbox2d,337,1.06134
gearbox2d,338,1.03163
gearbox2d,339,1.06529
gearbox2d,340,1.03526
gearbox2d,341,1.06471
gearbox2d,342,1.03893
gearbox2d,343,1.06388
gearbox2d,344,1.04102
gearbox2d,345,1.03364
gearbox2d,346,1.04872
gearbox2d,347,1.03354
gearbox2d,348,1.05216
gearbox2d,349,1.03291
gearbox2d,350,1.05645
gearbox2d,351,1.03409
gearbox2d,352,1.06379
gearbox2d,353,1.03193
gearbox2d,354,1.0629
gearbox2d,355,1.03422
gearbox2d,356,1.06307
gearbox2d,357,1.03539
gearbox2d,358,1.06526
gearbox2d,359,1.03899
gearbox2d,360,1.06766
gearbox2d,361,1.04269
gearbox2d,362,1.06281
gearbox2d,363,1.0488
gearbox2d,364,1.03552
gearbox2d,365,1.04932
gearbox2d,366,1.03334
gearbox2d,367,1.05747
gearbox2d,368,1.03439
gearbox2d,369,1.06154
gearbox2d,370,1.03293
gearbox2d,371,1.06519
gearbox2d,372,1.03415
gearbox2d,373,1.06467
gearbox2d,374,1.0373
gearbox2d,375,1.06658
gearbox2d,376,1.03612
gearbox2d,377,1.06516
gearbox2d,378,1.0404
gearbox2d,379,1.0656
gearbox2d,380,1.04461
gearbox2d,381,1.06312
gearbox2d,382,1.0512
gearbox2d,383,1.03556
gearbox2d,384,1.05634
gearbox2d,385,1.03525
gearbox2d,386,1.05905
gearbox2d,387,1.03201
gearbox2d,388,1.05882
gearbox2d,389,1.03232
gearbox2d,390,1.0648
gearbox2d,391,1.03913
gearbox2d,392,1.06791
gearbox2d,393,1.03568
gearbox2d,394,1.06571
gearbox2d,395,1.03719
gearbox2d,396,1.06772
gearbox2d,397,1.04236
gearbox2d,398,1.06604
gearbox2d,399,1.04703
gearbox2d,400,1.0357
gearbox2d,401,1.05188
gearbox2d,402,1.036
gearbox2d,403,1.05585
gearbox2d,404,1.03385
gearbox2d,405,1.06183
gearbox2d,406,1.03358
gearbox2d,407,1.06451
gearbox2d,408,1.03526
gearbox2d,409,1.06603
gearbox2d,410,1.03493
gearbox2d,411,1.0664
gearbox2d,412,1.03834
gearbox2d,413,1.06636
gearbox2d,414,1.03992
gearbox2d,415,1.06458
gearbox2d,416,1.04157
gearbox2d,417,1.065
gearbox2d,418,1.05054
gearbox2d,419,1.03643
gearbox2d,420,1.05506
gearbox2d,421,1.03404
gearbox2d,422,1.06081
gearbox2d,423,1.03122
gearbox2d,424,1.06075
gearbox2d,425,1.03552
gearbox2d,426,1.06692
gearbox2d,427,1.03762
gearbox2d,428,1.06591
gearbox2d,429,1.03922
gearbox2d,430,1.06745
gearbox2d,431,1.03743
gearbox2d,432,1.06695
gearbox2d,433,1.04528
gearbox2d,434,1.06866
gearbox2d,435,1.0477
gearbox2d,436,1.03981
gearbox2d,437,1.05031
gearbox2d,438,1.03495
gearbox2d,439,1.05619
gearbox2d,440,1.03465
gearbox2d,441,1.06307
gearbox2d,442,1.03657
gearbox2d,443,1.06463
gearbox2d,444,1.0343
gearbox2d,445,1.0684
gearbox2d,446,1.03607
gearbox2d,447,1.06672
gearbox2d,448,1.03884
gearbox2d,449,1.07107
gearbox2d,450,1.04092
gearbox2d,451,1.0668
gearbox2d,452,1.04473
gearbox2d,453,1.06729
gearbox2d,454,1.05135
gearbox2d,455,1.03804
gearbox2d,456,1.05376
gearbox2d,457,1.03756
gearbox2d,458,1.06274
gearbox2d,459,1.03741
gearbox2d,460,1.06297
gearbox2d,461,1.03409
gearbox2d,462,1.06707
gearbox2d,463,1.03896
gearbox2d,464,1.06711
gearbox2d,465,1.03624
gearbox2d,466,1.0692
gearbox2d,467,1.03991
gearbox2d,468,1.06923
gearbox2d,469,1.04539
gearbox2d,470,1.06959
gearbox2d,471,1.04939
gearbox2d,472,1.0379
gearbox2d,473,1.05078
gearbox2d,474,1.03718
gearbox2d,475,1.05911
gearbox2d,476,1.03435
gearbox2d,477,1.05871
gearbox2d,478,1.03707
gearbox2d,479,1.06505
gearbox2d,480,1.03527
gearbox2d,481,1.06841
gearbox2d,482,1.03632
gearbox2d,483,1.06808
gearbox2d,484,1.03884
gearbox2d,485,1.0685
gearbox2d,486,1.04113
gearbox2d,487,1.06797
gearbox2d,488,1.04402
gearbox2d,489,1.06698
gearbox2d,490,1.05145
gearbox2d,491,1.03844
gearbox2d,492,1.05396
gearbox2d,493,1.03876
gearbox2d,494,1.06214
gearbox2d,495,1.03523
gearbox2d,496,1.06415
gearbox2d,497,1.03411
gearbox2d,498,1.06581
gearbox2d,499,1.0381
gearbox2d,500,1.06997
gearbox2d,501,1.03961
gearbox2d,502,1.06914
gearbox2d,503,1.04026
gearbox2d,504,1.06856
gearbox2d,505,1.04304
gearbox2d,506,1.06655
gearbox2d,507,1.04734
gearbox2d,508,1.06397
gearbox2d,509,1.04895
gearbox2d,510,1.03918
gearbox2d,511,1.05932
gearbox2d,512,1.03554
gearbox2d,513,1.05822
gearbox2d,514,1.03455
gearbox2d,515,1.06539
gearbox2d,516,1.03675
gearbox2d,517,1.06941
gearbox2d,518,1.03729
gearbox2d,519,1.06725
gearbox2d,520,1.03926
gearbox2d,521,1.06831
gearbox2d,522,1.0416
gearbox2d,523,1.06841
gearbox2d,524,1.04528
gearbox2d,525,1.06739
gearbox2d,526,1.05029
gearbox2d,527,1.03792
gearbox2d,528,1.05317
gearbox2d,529,1.03441
gearbox2d,530,1.05614
gearbox2d,531,1.03446
gearbox2d,532,1.06439
gearbox2d,533,1.03693
gearbox2d,534,1.0658
gearbox2d,535,1.03712
gearbox2d,536,1.06993
gearbox2d,537,1.03888
gearbox2d,538,1.06773
gearbox2d,539,1.03922
gearbox2d,540,1.06987
gearbox2d,541,1.04537
gearbox2d,542,1.06913
gearbox2d,543,1.04817
gearbox2d,544,1.06467
gearbox2d,545,1.04985
gearbox2d,546,1.03742
gearbox2d,547,1.05798
gearbox2d,548,1.03855
gearbox2d,549,1.06284
gearbox2d,550,1.03091
gearbox2d,551,1.06095
gearbox2d,552,1.0342
gearbox2d,553,1.06542
gearbox2d,554,1.04027
gearbox2d,555,1.06861
gearbox2d,556,1.03934
gearbox2d,557,1.06753
gearbox2d,558,1.04194
gearbox2d,559,1.06848
gearbox2d,560,1.04655
gearbox2d,561,1.06881
gearbox2d,562,1.04951
gearbox2d,563,1.03648
gearbox2d,564,1.05199
gearbox2d,565,1.03451
gearbox2d,566,1.05784
gearbox2d,567,1.0343
gearbox2d,568,1.06481
gearbox2d,569,1.03421
gearbox2d,570,1.06292
gearbox2d,571,1.03447
gearbox2d,572,1.06632
gearbox2d,573,1.03867
gearbox2d,574,1.06746
gearbox2d,575,1.04209
gearbox2d,576,1.07085
gearbox2d,577,1.04271
gearbox2d,578,1.07007
gearbox2d,579,1.04493
gearbox2d,580,1.06826
gearbox2d,581,1.05188
gearbox2d,582,1.0374
gearbox2d,583,1.05557
gearbox2d,584,1.03767
gearbox2d,585,1.06004
gearbox2d,586,1.03458
gearbox2d,587,1.06248
gearbox2d,588,1.03517
gearbox2d,589,1.06805
gearbox2d,590,1.03732
gearbox2d,591,1.06679
gearbox2d,592,1.03782
gearbox2d,593,1.07245
gearbox2d,594,1.0408
gearbox2d,595,1.06928
gearbox2d,596,1.04552
gearbox2d,597,1.06916
gearbox2d,598,1.04847
gearbox2d,599,1.03866
gearbox2d,600,1.05137
