# scene=bounce-circle krb=on dt=0.0166667 seconds=28800 sample_every=600 e0=340
t_s,ke,pe,e_total,e_over_e0,peak_height
0,0,340,340,1,0.85
10,555.563,-104.453,451.109,1.32679,-0.261133
20,22.2195,295.555,317.774,0.93463,0.738887
30,355.539,73.3404,428.879,1.26141,0.183351
40,88.9,206.643,295.543,0.869243,0.516607
50,200.021,206.637,406.658,1.19605,0.516592
60,199.975,73.3475,273.323,0.80389,0.183369
70,88.8695,295.553,384.422,1.13065,0.738881
80,355.6,-104.515,251.085,0.738487,-0.261286
90,22.2347,339.971,362.206,1.06531,0.849928
100,555.486,-326.616,228.871,0.673149,-0.816539
110,2.62153e-06,339.965,339.965,0.999896,0.849912
120,555.639,-104.549,451.089,1.32673,-0.261374
130,22.2042,295.55,317.754,0.934571,0.738875
140,355.478,73.3661,428.844,1.26131,0.183415
150,88.9305,206.577,295.507,0.86914,0.516442
160,200.067,206.571,406.638,1.19599,0.516428
170,199.929,73.3732,273.303,0.803831,0.183433
180,88.8389,295.548,384.387,1.13055,0.738869
190,355.661,-104.611,251.05,0.738383,-0.261527
200,22.25,339.936,362.186,1.06525,0.84984
210,555.41,-326.559,228.851,0.673091,-0.816398
220,1.04817e-05,339.929,339.929,0.999793,0.849824
230,555.715,-104.646,451.069,1.32667,-0.261615
240,22.189,295.545,317.734,0.934512,0.738863
250,355.417,73.3919,428.809,1.2612,0.18348
260,88.961,206.511,295.472,0.869036,0.516278
270,200.112,206.505,406.618,1.19593,0.516263
280,199.884,73.399,273.283,0.803772,0.183497
290,88.8084,295.543,384.351,1.13045,0.738857
300,355.722,-104.707,251.015,0.738279,-0.261768
310,22.2652,339.901,362.166,1.06519,0.849752
320,555.334,-326.503,228.831,0.673032,-0.816257
330,2.35807e-05,339.894,339.894,0.999689,0.849735
340,555.792,-104.742,451.049,1.32662,-0.261855
350,22.1737,295.541,317.714,0.934454,0.738851
360,355.356,73.4176,428.773,1.2611,0.183544
370,88.9916,206.445,295.437,0.868932,0.516113
380,200.158,206.439,406.598,1.19588,0.516099
390,199.838,73.4247,273.263,0.803713,0.183562
400,88.7779,295.538,384.316,1.13034,0.738846
410,355.783,-104.803,250.98,0.738175,-0.262009
420,22.2805,339.865,362.146,1.06514,0.849664
430,555.258,-326.447,228.811,0.672973,-0.816117
440,4.19182e-05,339.859,339.859,0.999585,0.849647
450,555.868,-104.838,451.029,1.32656,-0.262096
460,22.1585,295.536,317.694,0.934395,0.738839
470,355.295,73.4434,428.738,1.26099,0.183609
480,89.0221,206.38,295.402,0.868828,0.515949
490,200.204,206.374,406.578,1.19582,0.515934
500,199.792,73.4505,273.242,0.803654,0.183626
510,88.7474,295.533,384.281,1.13024,0.738834
520,355.844,-104.9,250.944,0.738072,-0.262249
530,22.2958,339.83,362.126,1.06508,0.849575
540,555.181,-326.39,228.791,0.672914,-0.815976
550,6.54945e-05,339.824,339.824,0.999481,0.849559
560,555.944,-104.935,451.009,1.3265,-0.262337
570,22.1432,295.531,317.674,0.934336,0.738827
580,355.234,73.4691,428.703,1.26089,0.183673
590,89.0527,206.314,295.366,0.868725,0.515784
600,200.25,206.308,406.558,1.19576,0.51577
610,199.746,73.4762,273.223,0.803596,0.183691
620,88.7169,295.529,384.246,1.13013,0.738822
630,355.905,-104.996,250.909,0.737968,-0.26249
640,22.3111,339.795,362.106,1.06502,0.849487
650,555.105,-326.334,228.771,0.672855,-0.815835
660,9.43095e-05,339.788,339.788,0.999378,0.849471
670,556.021,-105.031,450.989,1.32644,-0.262578
680,22.128,295.526,317.654,0.934277,0.738816
690,355.173,73.4949,428.668,1.26079,0.183737
700,89.0832,206.248,295.331,0.868621,0.51562
710,200.296,206.242,406.538,1.1957,0.515605
