# scene=cradle krb=on dt=0.0166667 seconds=28800 sample_every=600 e0=13.2716
t_s,ke,pe,e_total,e_over_e0,peak_height
0,0,13.2716,13.2716,1,1.35425
10,6.6289,6.19128,12.8202,0.965983,0.689167
20,13.1841,-0.69275,12.4914,0.941208,-0.0123267
30,5.49206,6.98764,12.4797,0.940329,0.771136
40,0.120863,12.619,12.7399,0.959934,1.34255
50,7.73029,5.16157,12.8919,0.971384,0.584676
60,13.0811,-0.48371,12.5974,0.949198,0.000155687
70,4.70036,7.86672,12.5671,0.946913,0.855774
80,0.373407,12.3863,12.7597,0.961427,1.32302
90,8.96732,4.03248,12.9998,0.979517,0.462678
100,12.6937,-0.110025,12.5837,0.948164,0.0406033
110,3.70681,8.88835,12.5952,0.949028,0.964239
120,0.693924,12.1332,12.8271,0.966508,1.29417
130,9.95292,3.07166,13.0246,0.981385,0.362261
140,12.1733,0.451316,12.6247,0.95125,0.0941098
150,2.6996,10.0017,12.7013,0.957024,1.07262
160,1.27341,11.5994,12.8728,0.969946,1.24082
170,10.738,2.29406,13.0321,0.98195,0.280872
180,11.6103,1.00417,12.6145,0.950485,0.151813
190,1.93461,10.7784,12.713,0.957908,1.15297
200,2.10516,10.8801,12.9852,0.978421,1.16401
210,11.7364,1.3201,13.0565,0.98379,0.177396
220,10.2692,2.44653,12.7157,0.958111,0.292333
230,0.819992,12.1049,12.9249,0.97387,1.28946
240,4.71694,8.60399,13.3209,1.00371,0.920481
250,13.3891,-0.242052,13.1471,0.990615,-0.0022893
260,6.7879,6.5661,13.354,1.00621,0.70718
270,0.486851,13.3901,13.877,1.04561,1.421
280,9.40319,4.9268,14.33,1.07975,0.5293
290,13.4869,0.547091,14.034,1.05744,0.0771996
300,2.7948,11.38,14.1748,1.06805,1.21176
310,2.5273,11.9363,14.4636,1.08981,1.26901
320,13.6631,0.836537,14.4996,1.09253,0.119366
330,9.82596,4.17052,13.9965,1.05462,0.469346
340,0.33582,13.7871,14.1229,1.06414,1.46657
350,6.72804,7.63713,14.3652,1.0824,0.830317
360,14.4881,-0.516977,13.9711,1.05271,-0.0104847
370,5.02582,8.91453,13.9403,1.05039,0.961043
380,0.789688,13.3936,14.1833,1.06869,1.4237
390,11.412,2.90819,14.3202,1.07901,0.344262
400,12.3193,1.54667,13.8659,1.04478,0.205563
410,1.35419,12.5974,13.9516,1.05123,1.34106
420,3.83236,10.4104,14.2428,1.07317,1.11632
430,14.4673,-0.188979,14.2783,1.07585,0.0294278
440,7.98843,5.86795,13.8564,1.04406,0.647696
450,0.0616881,13.9573,14.0189,1.05631,1.48103
460,8.41741,5.8649,14.2823,1.07615,0.649283
470,14.0485,-0.241168,13.8073,1.04036,0.0297669
480,3.4886,10.3825,13.8711,1.04517,1.11321
490,1.53252,12.5895,14.1221,1.06408,1.34152
500,12.7287,1.53099,14.2597,1.07445,0.2069
510,10.9806,2.79979,13.7804,1.03833,0.339395
520,0.584921,13.3589,13.9438,1.05065,1.41687
530,5.24023,8.92727,14.1675,1.0675,0.967894
540,14.786,-0.640342,14.1457,1.06586,-0.011143
550,6.40683,7.37481,13.7816,1.03843,0.809309
560,0.218115,13.7952,14.0134,1.05589,1.46426
570,9.93977,4.32299,14.2628,1.07468,0.491245
580,13.3261,0.484952,13.8111,1.04065,0.102133
590,2.30262,11.556,13.8586,1.04423,1.23507
600,2.51001,11.6582,14.1682,1.06755,1.24223
610,13.7122,0.519056,14.2312,1.07231,0.105151
620,9.58519,4.18378,13.769,1.03747,0.480782
630,0.163724,13.7742,13.9379,1.0502,1.46155
640,6.70727,7.5363,14.2436,1.07323,0.820762
650,14.4371,-0.650517,13.7866,1.0388,-0.0116398
660,4.97255,8.83749,13.81,1.04057,0.955197
670,0.684918,13.3628,14.0477,1.05847,1.42142
680,11.3137,2.89394,14.2076,1.07052,0.349975
690,12.3659,1.40264,13.7685,1.03744,0.199285
700,1.37063,12.4962,13.8668,1.04485,1.33267
710,3.66224,10.5043,14.1666,1.06743,1.1267
720,14.3988,-0.183351,14.2154,1.07111,0.0345851
730,8.1714,5.62866,13.8001,1.03982,0.630016
740,0.0239858,13.9372,13.9612,1.05196,1.47863
750,8.17939,6.02628,14.2057,1.07038,0.669957
760,14.1127,-0.352056,13.7606,1.03685,0.0208677
770,3.67107,10.1616,13.8327,1.04228,1.09069
780,1.36895,12.6964,14.0653,1.0598,1.35432
790,12.5195,1.65956,14.179,1.06837,0.226258
800,11.2072,2.56228,13.7694,1.03751,0.317129
810,0.6768,13.238,13.9148,1.04846,1.40441
820,4.95697,9.18838,14.1454,1.06583,0.994549
830,14.78,-0.545538,14.2345,1.07255,-0.00461674
840,6.6975,7.06419,13.7617,1.03692,0.777715
850,0.148506,13.8296,13.9781,1.05323,1.46905
860,9.62875,4.57397,14.2027,1.07016,0.524372
870,13.4937,0.282121,13.7758,1.03799,0.0837047
880,2.52644,11.3301,13.8565,1.04407,1.21047
890,2.27285,11.8092,14.0821,1.06106,1.26487
900,13.5158,0.663264,14.1791,1.06838,0.124101
910,9.89782,3.87891,13.7767,1.03806,0.450486
920,0.227326,13.6962,13.9235,1.04912,1.45352
930,6.36821,7.83985,14.2081,1.07056,0.854296
940,14.4649,-0.665443,13.7994,1.03977,-0.0121331
950,5.29068,8.52675,13.8174,1.04112,0.924081
960,0.528479,13.4889,14.0173,1.05619,1.43343
970,11.0014,3.22084,14.2222,1.07163,0.383972
980,12.6113,1.16882,13.7801,1.03831,0.173373
990,1.56861,12.2978,13.8664,1.04482,1.31136
1000,3.36978,10.7989,14.1687,1.06759,1.15563
1010,14.2596,-0.0785754,14.181,1.06852,0.0479316
1020,8.52002,5.29933,13.8194,1.04127,0.593603
1030,0.0312786,13.9148,13.9461,1.05082,1.47683
1040,7.82094,6.36145,14.1824,1.06862,0.705795
1050,14.2189,-0.48153,13.7373,1.03509,0.00923443
1060,3.97411,9.82919,13.8033,1.04006,1.05888
1070,1.17913,12.9221,14.1012,1.06251,1.37279
1080,12.2407,2.00782,14.2485,1.0736,0.257096
1090,11.5071,2.2544,13.7615,1.03691,0.285764
1100,0.824194,13.0017,13.8259,1.04176,1.38843
1110,4.6261,9.52056,14.1467,1.06593,1.03
1120,14.7147,-0.50224,14.2124,1.07089,0.00124836
1130,7.05257,6.70632,13.7589,1.03671,0.740727
1140,0.0929432,13.8652,13.9581,1.05173,1.47383
1150,9.27433,4.95064,14.225,1.07183,0.559888
1160,13.6728,0.0749258,13.7478,1.03587,0.0646864
1170,2.79386,11.0314,13.8253,1.04172,1.18236
1180,2.0288,12.0861,14.1149,1.06354,1.28902
1190,13.29,0.915318,14.2053,1.07035,0.14961
1200,10.2343,3.50538,13.7396,1.03526,0.415446
1210,0.315475,13.5904,13.9059,1.04779,1.44366
1220,6.01284,8.17141,14.1842,1.06876,0.88993
1230,14.4775,-0.670873,13.8066,1.04031,-0.0137708
1240,5.63431,8.18286,13.8172,1.04111,0.888277
1250,0.410235,13.5962,14.0064,1.05536,1.44467
1260,10.6692,3.58353,14.2528,1.07393,0.417226
1270,12.8535,0.868647,13.7222,1.03395,0.147932
1280,1.7882,12.0972,13.8854,1.04624,1.28812
1290,3.07986,11.0446,14.1244,1.06426,1.18453
1300,14.0998,0.0836771,14.1835,1.06871,0.0666394
1310,8.84936,4.90607,13.7554,1.03645,0.55658
1320,0.0560556,13.8802,13.9362,1.05008,1.47346
1330,7.45596,6.75503,14.211,1.07078,0.745081
1340,14.3091,-0.498892,13.8102,1.04058,0.00264668
1350,4.29212,9.49116,13.7833,1.03855,1.02569
1360,1.00119,13.0763,14.0775,1.06072,1.3902
1370,11.9468,2.29684,14.2436,1.07324,0.286424
1380,11.8012,1.95976,13.761,1.03687,0.255056
1390,0.988885,12.874,13.8628,1.04455,1.3708
1400,4.29904,9.85799,14.157,1.06671,1.06275
1410,14.6294,-0.41106,14.2184,1.07134,0.00918591
1420,7.41323,6.35651,13.7697,1.03753,0.703233
1430,0.0533648,13.9258,13.9791,1.05331,1.47706
1440,8.91367,5.32316,14.2368,1.07273,0.596096
1450,13.8364,-0.0788745,13.7575,1.03661,0.0504473
1460,3.07419,10.7462,13.8203,1.04134,1.15299
1470,1.79646,12.2991,14.0955,1.06208,1.31202
1480,13.0483,1.17642,14.2247,1.07182,0.173578
1490,10.5655,3.21774,13.7832,1.03855,0.380962
1500,0.419807,13.4846,13.9044,1.04768,1.43218
1510,5.6472,8.52521,14.1724,1.06787,0.925278
1520,14.4708,-0.688593,13.7822,1.03847,-0.0137749
1530,5.98435,7.81385,13.7982,1.03968,0.85185
1540,0.307283,13.6953,14.0026,1.05508,1.45439
1550,10.3292,3.86452,14.1937,1.06947,0.45131
1560,13.0822,0.678043,13.7602,1.03681,0.123889
1570,2.02136,11.8404,13.8618,1.04447,1.26354
1580,2.79978,11.3186,14.1184,1.0638,1.21244
1590,13.9222,0.306839,14.2291,1.07214,0.0840394
1600,9.20306,4.56114,13.7642,1.03711,0.519803
1610,0.0970996,13.8289,13.926,1.04931,1.46845
1620,7.09128,7.09646,14.1877,1.06903,0.781699
1630,14.3805,-0.557672,13.8228,1.04153,-0.00536275
1640,4.61793,9.14064,13.7586,1.03669,0.991711
1650,0.8376,13.2101,14.0477,1.05847,1.40614
1660,11.6414,2.58742,14.2289,1.07212,0.316942
1670,12.0838,1.66802,13.7518,1.03618,0.225523
1680,1.16799,12.6746,13.8426,1.04302,1.3517
1690,3.98061,10.178,14.1586,1.06683,1.09459
1700,14.525,-0.338415,14.1866,1.06894,0.0223314
1710,7.80041,5.98745,13.7879,1.0389,0.668413
1720,0.0298608,13.9411,13.971,1.05269,1.47863
1730,8.55131,5.66439,14.2157,1.07113,0.632461
1740,13.982,-0.201126,13.7809,1.03837,0.0348568
1750,3.36447,10.4515,13.816,1.04102,1.1226
1760,1.57711,12.4906,14.0677,1.05998,1.33366
1770,12.7924,1.43239,14.2248,1.07182,0.199007
1780,10.8882,2.86884,13.7571,1.03658,0.347325
1790,0.539307,13.3201,13.8594,1.04429,1.41915
1800,5.30096,8.84134,14.1423,1.0656,0.959982
1810,14.786,-0.674915,14.1111,1.06325,-0.0119121
1820,6.33714,7.44718,13.7843,1.03863,0.815134
1830,0.220007,13.7553,13.9753,1.05302,1.46248
1840,9.98279,4.25267,14.2355,1.07262,0.486034
1850,13.2951,0.489078,13.7842,1.03862,0.10467
1860,2.26681,11.6073,13.8741,1.04539,1.2377
1870,2.53123,11.6002,14.1314,1.06478,1.23914
1880,13.7279,0.478245,14.2061,1.07041,0.103152
1890,9.55186,4.19662,13.7485,1.03593,0.483518
1900,0.153823,13.7421,13.8959,1.04704,1.46181
1910,6.72927,7.49798,14.2273,1.072,0.818026
1920,14.4322,-0.651749,13.7805,1.03834,-0.0113773
1930,4.95011,8.82446,13.7746,1.0379,0.957077
1940,0.689085,13.3602,14.0492,1.05859,1.4205
1950,11.3267,2.85172,14.1784,1.06832,0.34841
1960,12.3535,1.4325,13.786,1.03876,0.200375
1970,1.36065,12.5321,13.8928,1.0468,1.33335
1980,3.67098,10.491,14.162,1.06709,1.12553
1990,14.4018,-0.22948,14.1724,1.06787,0.0341454
2000,8.16039,5.63815,13.7985,1.0397,0.630984
2010,0.022427,13.9278,13.9502,1.05113,1.47856
2020,8.18698,6.05478,14.2418,1.0731,0.669034
2030,14.1095,-0.344157,13.7653,1.0372,0.0211163
2040,3.66436,10.1508,13.8152,1.04095,1.09124
2050,1.37136,12.728,14.0994,1.06237,1.35392
2060,12.5231,1.63986,14.1629,1.06716,0.225814
2070,11.2024,2.5847,13.7871,1.03884,0.317551
2080,0.674117,13.1715,13.8456,1.04325,1.40456
2090,4.96034,9.21333,14.1737,1.06797,0.994112
2100,14.7802,-0.559693,14.2206,1.0715,-0.00468159
2110,6.69362,7.0996,13.7932,1.0393,0.77805
2120,0.148511,13.8569,14.0054,1.05529,1.46897
2130,9.631,4.57782,14.2088,1.07061,0.524098
2140,13.4921,0.288967,13.781,1.03838,0.0838463
2150,2.52444,11.3078,13.8323,1.04224,1.21062
2160,2.27397,11.8283,14.1023,1.06259,1.2647
2170,13.5169,0.652316,14.1693,1.06764,0.123963
2180,9.89581,3.86956,13.7654,1.0372,0.450662
2190,0.226654,13.6924,13.919,1.04878,1.45354
2200,6.36938,7.86604,14.2354,1.07262,0.85415
2210,14.4647,-0.651003,13.8137,1.04084,-0.0121253
2220,5.28931,8.49752,13.7868,1.03882,0.924191
2230,0.528765,13.4901,14.0188,1.0563,1.43336
2240,11.0023,3.22662,14.2289,1.07213,0.383865
2250,12.6102,1.16294,13.7732,1.03779,0.173468
2260,1.5677,12.2831,13.8508,1.04364,1.31142
2270,3.37052,10.8053,14.1758,1.06813,1.15553
2280,14.2599,-0.0649396,14.1949,1.06957,0.0478963
2290,8.49231,5.28347,13.7758,1.03799,0.593701
2300,0.0311725,13.921,13.9522,1.05128,1.47683
2310,7.8214,6.36367,14.1851,1.06883,0.705745
