# scene=bounce-circle krb=on dt=0.0166667 seconds=600 sample_every=60 e0=340 velocity_iterations=8 position_iterations=3
t_s,ke,pe,e_total,e_over_e0,peak_height
0,0,340,340,1,0.85
1,555.555,-326.666,228.889,0.673202,-0.816665
2,22.2225,340,362.222,1.06536,0.849999
3,355.557,-104.447,251.11,0.738559,-0.261118
4,88.8878,295.555,384.443,1.13072,0.738888
5,199.998,73.3346,273.333,0.803919,0.183336
6,200.003,206.663,406.666,1.19608,0.516658
7,88.8908,206.662,295.553,0.869274,0.516656
8,355.551,73.3353,428.886,1.26143,0.183338
9,22.221,295.555,317.776,0.934636,0.738888
10,555.563,-104.453,451.109,1.32679,-0.261133
11,2.64122e-08,339.996,339.996,0.99999,0.849991
12,555.547,-326.661,228.887,0.673197,-0.816651
13,22.224,339.996,362.22,1.06535,0.84999
14,355.563,-104.457,251.107,0.738549,-0.261142
15,88.8847,295.555,384.44,1.1307,0.738887
16,199.993,73.3372,273.331,0.803913,0.183343
17,200.007,206.657,406.664,1.19607,0.516641
18,88.8939,206.656,295.55,0.869264,0.51664
19,355.545,73.3378,428.883,1.26142,0.183345
20,22.2195,295.555,317.774,0.93463,0.738887
21,555.57,-104.463,451.107,1.32679,-0.261157
22,1.05211e-07,339.993,339.993,0.999979,0.849982
23,555.54,-326.655,228.885,0.673191,-0.816637
24,22.2255,339.992,362.218,1.06535,0.849981
25,355.569,-104.466,251.103,0.738538,-0.261166
26,88.8817,295.554,384.436,1.13069,0.738886
27,199.989,73.3397,273.329,0.803908,0.183349
28,200.012,206.65,406.662,1.19606,0.516625
29,88.8969,206.649,295.546,0.869254,0.516623
30,355.539,73.3404,428.879,1.26141,0.183351
31,22.2179,295.554,317.772,0.934624,0.738886
32,555.578,-104.472,451.105,1.32678,-0.261181
33,2.36396e-07,339.989,339.989,0.999969,0.849974
34,555.532,-326.649,228.883,0.673185,-0.816623
35,22.2271,339.989,362.216,1.06534,0.849972
36,355.576,-104.476,251.1,0.738528,-0.26119
37,88.8786,295.554,384.433,1.13068,0.738885
38,199.984,73.3423,273.327,0.803902,0.183356
39,200.016,206.643,406.66,1.19606,0.516609
40,88.9,206.643,295.543,0.869243,0.516607
41,355.533,73.343,428.876,1.2614,0.183357
42,22.2164,295.554,317.77,0.934618,0.738885
43,555.586,-104.482,451.103,1.32677,-0.261205
44,4.19969e-07,339.986,339.986,0.999959,0.849965
45,555.524,-326.644,228.881,0.673179,-0.816609
