# scene=cradle krb=on dt=0.0166667 seconds=600 sample_every=60 e0=13.2716 velocity_iterations=8 position_iterations=3
t_s,ke,pe,e_total,e_over_e0,peak_height
0,0,13.2716,13.2716,1,1.35425
1,13.0866,-0.0914974,12.9951,0.979165,0
2,0.316854,12.5851,12.9019,0.972143,1.31219
3,12.3698,0.317005,12.6868,0.955937,0.0602832
4,1.33221,11.4424,12.7746,0.96255,1.22065
5,10.9671,1.46339,12.4305,0.936622,0.204615
6,2.88467,9.93602,12.8207,0.966021,1.06795
7,9.04568,3.40977,12.4555,0.938502,0.402113
8,4.58302,8.20629,12.7893,0.963657,0.89474
9,7.13978,5.27325,12.413,0.935305,0.597253
10,6.64293,6.19341,12.8363,0.967201,0.686573
11,5.06479,7.42349,12.4883,0.940975,0.81075
12,8.95986,3.88218,12.842,0.96763,0.452206
13,3.01013,9.44515,12.4553,0.938488,1.02466
14,10.9522,1.92926,12.8815,0.970604,0.252292
15,1.44874,11.0924,12.5412,0.944961,1.18874
16,12.3388,0.524914,12.8637,0.969263,0.108015
17,0.495492,12.1168,12.6123,0.950322,1.29092
18,13.2585,-0.407331,12.8512,0.968318,0.011592
19,0.028572,12.5872,12.6157,0.950578,1.34114
20,13.1835,-0.654655,12.5289,0.944034,-0.0126569
21,0.211994,12.4979,12.7099,0.957672,1.32961
22,12.6246,-0.0976635,12.5269,0.943885,0.0435836
23,1.07971,11.7316,12.8113,0.965312,1.25271
24,11.3778,1.13923,12.517,0.94314,0.170989
25,2.26584,10.527,12.7928,0.963924,1.12937
26,9.81143,2.70072,12.5121,0.942774,0.331402
27,4.0148,8.78403,12.7988,0.964374,0.95763
28,7.78616,4.6749,12.4611,0.938924,0.533485
29,6.26149,6.62864,12.8901,0.971253,0.732149
30,5.49089,6.99421,12.4851,0.940736,0.772459
31,8.47286,4.41367,12.8865,0.970983,0.508132
32,3.47136,9.05848,12.5298,0.944107,0.981103
33,10.3213,2.57931,12.9006,0.972044,0.318321
34,1.93986,10.6543,12.5941,0.948952,1.14118
35,11.9643,0.920792,12.8851,0.970874,0.149367
36,0.751911,11.8597,12.6116,0.950267,1.26547
37,13.1738,-0.292875,12.8809,0.970561,0.0271229
38,0.0881773,12.5883,12.6765,0.955154,1.33851
39,13.2244,-0.666391,12.558,0.946231,-0.0130231
40,0.121516,12.5738,12.6953,0.956572,1.34209
41,12.8591,-0.333191,12.5259,0.943812,0.0215064
42,0.693135,12.0897,12.7828,0.963167,1.28881
43,11.9001,0.594133,12.4942,0.941421,0.118229
44,1.84127,10.9487,12.79,0.963709,1.17308
45,10.333,2.18439,12.5174,0.943172,0.278206
46,3.69213,9.2146,12.9067,0.972504,0.994663
47,8.19378,4.34963,12.5434,0.945129,0.496733
48,5.75595,7.14651,12.9025,0.972183,0.786871
49,6.02488,6.54777,12.5727,0.947333,0.720928
50,7.73094,5.21447,12.9454,0.975419,0.585734
51,4.12943,8.3826,12.512,0.942765,0.914221
52,9.76485,3.13557,12.9004,0.972029,0.374685
53,2.38805,10.1935,12.5815,0.948002,1.09514
54,11.7179,1.22505,12.9429,0.975231,0.175705
55,0.950963,11.6958,12.6468,0.952917,1.24656
56,12.9955,-0.0787027,12.9168,0.973266,0.0448999
57,0.190444,12.5024,12.6929,0.956391,1.33151
58,13.4931,-0.611386,12.8817,0.970621,-0.00871658
59,0.0413087,12.7094,12.7507,0.96075,1.35119
