# scene=cradle krb=off dt=0.0166667 seconds=600 sample_every=60 e0=13.2716 velocity_iterations=8 position_iterations=3
t_s,ke,pe,e_total,e_over_e0,peak_height
0,0,13.2716,13.2716,1,1.35425
1,13.0866,-0.0914998,12.9951,0.979166,0
2,0.316556,12.852,13.1685,0.992232,1.31143
3,12.3632,0.590433,12.9537,0.97604,0.060186
4,1.28387,11.9413,13.2251,0.996496,1.21848
5,10.9628,2.00847,12.9712,0.977365,0.204695
6,2.82876,10.45,13.2788,1.00054,1.06624
7,9.04336,3.9134,12.9568,0.976274,0.398942
8,4.52916,8.76283,13.292,1.00153,0.894103
9,7.14563,5.81536,12.961,0.976593,0.593286
10,6.57247,6.74723,13.3197,1.00362,0.688397
11,5.08309,7.87858,12.9617,0.976645,0.803826
12,8.8609,4.47786,13.3388,1.00506,0.456504
13,3.03194,9.97846,13.0104,0.980316,1.01798
14,10.8462,2.48476,13.3309,1.00447,0.253106
15,1.46699,11.5781,13.0451,0.982933,1.18129
16,12.2471,1.10669,13.3538,1.00619,0.113825
17,0.507776,12.5776,13.0854,0.985968,1.28341
18,13.1715,0.172131,13.3437,1.00543,0.0226446
19,0.0342414,13.0885,13.1227,0.98878,1.33557
20,13.1358,-0.114799,13.021,0.981118,0.000213742
21,0.203024,12.98,13.1831,0.993327,1.3245
22,12.5932,0.412497,13.0057,0.979964,0.0407083
23,1.01579,12.2313,13.2471,0.998148,1.248
24,11.362,1.63389,12.9959,0.97922,0.165081
25,2.22121,11.0646,13.2858,1.00106,1.12886
26,9.79244,3.20328,12.9957,0.979211,0.325828
27,3.92934,9.38549,13.3148,1.00325,0.957328
28,7.80545,5.1557,12.9612,0.976605,0.525178
29,6.12351,7.2197,13.3432,1.00539,0.735683
30,5.54344,7.44128,12.9847,0.978381,0.758173
31,8.331,5.04165,13.3726,1.00761,0.512766
32,3.51848,9.52432,13.0428,0.982757,0.970978
33,10.1809,3.1928,13.3737,1.00769,0.32441
34,1.98936,11.0648,13.0542,0.983615,1.12869
35,11.8266,1.53543,13.362,1.00681,0.155681
36,0.791133,12.2948,13.0859,0.986006,1.25441
37,13.033,0.349062,13.382,1.00832,0.0372368
38,0.112981,13.0366,13.1496,0.990806,1.33027
39,13.1534,-0.104709,13.0487,0.983204,0.00126088
40,0.121492,13.0974,13.2188,0.996022,1.33652
41,12.821,0.223248,13.0443,0.98287,0.0190662
42,0.664867,12.593,13.2579,0.998963,1.28496
43,11.8956,1.11504,13.0106,0.980331,0.110919
44,1.78797,11.5015,13.2895,1.00134,1.17327
45,10.3557,2.64603,13.0017,0.979662,0.267342
46,3.55083,9.79839,13.3492,1.00585,0.998711
47,8.26745,4.75723,13.0247,0.981392,0.482357
48,5.60151,7.7859,13.3874,1.00872,0.79233
49,6.1047,6.92425,13.029,0.981714,0.703902
50,7.55966,5.83031,13.39,1.00892,0.592562
51,4.22734,8.83071,13.0581,0.983907,0.89957
52,9.59886,3.78324,13.3821,1.00832,0.383082
53,2.46921,10.5907,13.0599,0.984047,1.07973
54,11.5238,1.8795,13.4033,1.00992,0.187665
55,1.03539,12.0877,13.1231,0.988805,1.23292
56,12.8372,0.601481,13.4387,1.01259,0.0591185
57,0.243284,12.9507,13.194,0.994149,1.32147
58,13.4057,-0.038439,13.3673,1.00721,0.00501883
59,0.0596434,13.1729,13.2326,0.997057,1.34435
60,13.0464,0.0478387,13.0943,0.986636,0.00127625
61,0.452849,12.8141,13.267,0.999649,1.30753
62,12.2578,0.795855,13.0536,0.983574,0.0761002
63,1.54195,11.7918,13.3338,1.00468,1.20258
64,10.7332,2.31372,13.0469,0.983065,0.230167
65,3.12719,10.2521,13.3792,1.00811,1.04435
66,8.80892,4.2705,13.0794,0.985517,0.430232
67,4.86933,8.54347,13.4128,1.01064,0.86937
68,6.8874,6.19421,13.0816,0.985681,0.628248
69,6.94131,6.47117,13.4125,1.01061,0.656795
70,4.82889,8.25081,13.0797,0.985538,0.839109
71,9.217,4.22489,13.4419,1.01283,0.425384
72,2.83679,10.2804,13.1172,0.988362,1.04696
73,11.1578,2.31462,13.4724,1.01513,0.229084
74,1.3499,11.8377,13.1876,0.993666,1.20694
75,12.489,1.00192,13.4909,1.01652,0.0973198
76,0.466339,12.7618,13.2281,0.996721,1.30216
77,13.3279,0.137444,13.4654,1.0146,0.0153828
78,0.0827951,13.1854,13.2682,0.999744,1.34559
79,13.1705,-0.0394378,13.131,0.989406,0.00202048
80,0.366063,12.9729,13.339,1.00507,1.32375
81,12.5051,0.618293,13.1234,0.98883,0.0540346
82,1.27647,12.1372,13.4136,1.0107,1.23768
83,11.179,1.97969,13.1587,0.991492,0.192981
