# scene=floor-bounce krb=on dt=0.0166667 seconds=600 sample_every=60 e0=90 velocity_iterations=8 position_iterations=3
t_s,ke,pe,e_total,e_over_e0,peak_height
0,0,90,90,1,0
1,50,39.1667,89.1667,0.990741,-5.08333
2,23.3472,67.2222,90.5694,1.00633,-2.27778
3,5.01389,84.7222,89.7361,0.997068,-0.527776
4,86.6806,2.22222,88.9029,0.987809,-8.77778
5,8,82.3333,90.3333,1.0037,-0.766667
6,18,71.5,89.5,0.994444,-1.85
7,58.6806,32.2222,90.9028,1.01003,-5.77778
8,0.347224,89.7222,90.0694,1.00077,-0.0277778
9,42.0139,47.2222,89.2361,0.991512,-4.27778
10,32,58.6667,90.6666,1.00741,-3.13333
11,2.00001,87.8333,89.8333,0.998148,-0.216668
12,72.0001,16.9999,89,0.988889,-7.30001
13,11.6806,78.7222,90.4028,1.00448,-1.12778
14,13.3472,76.2222,89.5694,0.995216,-1.37778
15,68.0556,22.9167,90.9723,1.0108,-6.70833
16,1.38889,88.75,90.1389,1.00154,-0.125001
17,34.7222,54.5833,89.3055,0.992283,-3.54167
18,36.125,54.5833,90.7083,1.00787,-3.54167
19,1.125,88.75,89.875,0.998611,-0.125
20,66.125,22.9167,89.0417,0.989352,-6.70833
21,16.0555,74.4167,90.4722,1.00525,-1.55833
22,9.38891,80.25,89.6389,0.995988,-0.975004
23,78.1251,12.9166,91.0417,1.01157,-7.70834
24,3.12501,87.0833,90.2083,1.00231,-0.291671
25,28.125,61.25,89.3749,0.993055,-2.875
26,43.5555,47.2222,90.7777,1.00864,-4.27778
27,0.222223,89.7222,89.9444,0.999382,-0.0277805
28,56.8889,32.2222,89.1111,0.990123,-5.77778
29,19.0139,71.5,90.5139,1.00571,-1.85
30,7.34722,82.3333,89.6805,0.99645,-0.766668
31,88.8889,2.22222,91.1112,1.01235,-8.77778
32,5.55555,84.7222,90.2778,1.00309,-0.52778
33,22.2222,67.2222,89.4444,0.993827,-2.27778
34,51.6806,39.1666,90.8472,1.00941,-5.08334
35,0.0138894,90,90.0138,1.00015,-4.45941e-06
36,48.3472,40.8333,89.1805,0.990895,-4.91667
37,24.5,66.0833,90.5833,1.00648,-2.39167
38,4.50001,85.25,89.75,0.997222,-0.475004
39,84.5001,4.41659,88.9167,0.987963,-8.55834
40,7.34723,82.9722,90.3194,1.00355,-0.702781
41,19.0139,70.4722,89.4861,0.99429,-1.95278
42,56.8889,34,90.8889,1.00988,-5.6
43,0.222221,89.8333,90.0555,1.00062,-0.0166682
44,43.5556,45.6666,89.2222,0.991358,-4.43334
45,28.125,62.5,90.625,1.00694,-2.75
46,3.12499,86.6667,89.7916,0.997685,-0.333334
47,78.125,10.8333,88.9584,0.988427,-7.91667
48,10.8889,79.5,90.3889,1.00432,-1.05
49,14.2222,75.3333,89.5555,0.995062,-1.46667
50,66.1251,24.8333,90.9583,1.01065,-6.51667
51,1.125,89,90.125,1.00139,-0.100004
52,36.125,53.1667,89.2916,0.992129,-3.68333
53,34.7222,55.9722,90.6944,1.00772,-3.40278
54,1.38889,88.4722,89.8611,0.998457,-0.152781
55,68.0556,20.9722,89.0278,0.989198,-6.90278
56,13.3472,77.0833,90.4305,1.00478,-1.29167
57,11.6805,77.9167,89.5972,0.995524,-1.20833
58,76.0556,14.9722,91.0278,1.01142,-7.50278
59,2.72221,87.4722,90.1944,1.00216,-0.25278
60,29.3889,59.9722,89.3611,0.992901,-3.00278
61,42.0139,48.7499,90.7638,1.00849,-4.12501
62,0.34722,89.5833,89.9305,0.999228,-0.0416708
63,58.6806,30.4167,89.0972,0.989969,-5.95833
64,18,72.5,90.5,1.00556,-1.75
65,8.00001,81.6666,89.6666,0.996296,-0.833338
66,82.3473,8.72215,91.0695,1.01188,-8.12778
67,4.0139,86.2222,90.2361,1.00262,-0.377781
68,25.6805,63.7222,89.4027,0.993364,-2.62778
69,46.7222,44.0833,90.8055,1.00895,-4.59167
70,0.055556,89.9166,89.9722,0.999691,-0.00833504
71,53.3889,35.75,89.1389,0.990432,-5.425
