# scene=floor-bounce krb=off dt=0.0166667 seconds=600 sample_every=60 e0=90 velocity_iterations=8 position_iterations=3
t_s,ke,pe,e_total,e_over_e0,peak_height
0,0,90,90,1,0
1,50,39.1667,89.1667,0.990741,-5.08333
2,24.5,68.3333,92.8333,1.03148,-2.16667
3,4.5,87.5,92,1.02222,-0.25
4,84.5001,6.66665,91.1667,1.01296,-8.33333
5,9.38889,85.5,94.8889,1.05432,-0.450001
6,16.0555,78,94.0555,1.04506,-1.2
7,72,25.8333,97.8334,1.08704,-6.41667
8,2,95,97,1.07778,0.5
9,32,64.1667,96.1666,1.06852,-2.58333
10,50,50,100,1.11111,-4
11,1.95843e-13,99.1667,99.1667,1.10185,0.916667
12,50,48.3334,98.3334,1.09259,-4.16667
13,34.7222,67.5,102.222,1.1358,-2.25
14,1.38889,100,101.389,1.12654,1
15,68.0556,32.5,100.556,1.11728,-5.75
16,24.5,80,104.5,1.16111,-1
17,4.5,99.1667,103.667,1.15185,0.916668
18,84.5001,18.3333,102.833,1.14259,-7.16667
19,18,88.8333,106.833,1.18704,-0.116666
20,8,98,106,1.17778,0.800001
21,98.0001,7.16665,105.167,1.16852,-8.28333
22,14.2222,95,109.222,1.21358,0.5
23,10.8889,97.5,108.389,1.20432,0.750001
24,107.556,-9.53674e-06,107.556,1.19506,-9
25,12.5,99.1667,111.667,1.24074,0.916667
26,12.5,98.3333,110.833,1.23148,0.833333
27,112.5,2.49998,115,1.27778,-8.75
28,12.5,101.667,114.167,1.26852,1.16667
29,12.5,100.833,113.333,1.25926,1.08333
30,112.5,4.99999,117.5,1.30556,-8.5
31,12.5,104.167,116.667,1.2963,1.41667
32,12.5,103.333,115.833,1.28704,1.33333
33,112.5,2.49997,115,1.27778,-8.75
34,14.2222,105,119.222,1.32469,1.5
35,10.8889,107.5,118.389,1.31543,1.75
36,107.556,9.99999,117.556,1.30617,-8
37,18,103.833,121.833,1.3537,1.38333
38,8,113,121,1.34444,2.3
39,98.0001,22.1667,120.167,1.33519,-6.78333
40,24.5,100,124.5,1.38333,1
41,4.5,119.167,123.667,1.37407,2.91667
42,84.5001,38.3334,122.833,1.36482,-5.16667
43,34.7222,92.5,127.222,1.41358,0.250003
44,1.38889,125,126.389,1.40432,3.5
45,68.0556,57.5,125.556,1.39506,-3.25
46,50,80,130,1.44444,-0.999996
47,1.95843e-13,129.167,129.167,1.43519,3.91667
48,50,78.3334,128.333,1.42593,-1.16666
49,72,60.8334,132.833,1.47593,-2.91666
50,2,130,132,1.46667,4.00001
51,32,99.1667,131.167,1.45741,0.916672
52,102.722,33,135.722,1.50803,-5.7
53,9.38889,125.5,134.889,1.49877,3.55
54,16.0556,118,134.056,1.48951,2.8
55,122.722,10.5,133.222,1.48025,-7.95
56,24.5,113.333,137.833,1.53148,2.33334
57,4.5,132.5,137,1.52222,4.25
58,84.5001,51.6667,136.167,1.51296,-3.83333
59,50,90.8334,140.833,1.56481,0.0833347
60,3.59712e-14,140,140,1.55556,5
61,50,89.1667,139.167,1.5463,-0.0833332
62,88.889,55,143.889,1.59877,-3.5
63,5.55556,137.5,143.056,1.58951,4.75
64,22.2222,120,142.222,1.58025,3
65,138.889,2.49993,141.389,1.57099,-8.75001
66,24.5,121.667,146.167,1.62407,3.16666
67,4.5,140.833,145.333,1.61481,5.08333
68,84.5001,60,144.5,1.60556,-3
69,60.5,88.8333,149.333,1.65926,-0.11667
70,0.5,148,148.5,1.65,5.8
71,40.5,107.167,147.667,1.64074,1.71666
72,117.556,34.9999,152.556,1.69506,-5.50001
73,14.2222,137.5,151.722,1.6858,4.74999
74,10.8889,140,150.889,1.67654,4.99999
75,107.556,42.4999,150.056,1.66728,-4.75001
76,50,105,155,1.72222,1.49999
77,3.59712e-14,154.167,154.167,1.71296,6.41666
78,50,103.333,153.333,1.7037,1.33332
79,112.5,45.8332,158.333,1.75926,-4.41668
80,12.5,145,157.5,1.75,5.49999
81,12.5,144.167,156.667,1.74074,5.41666
82,112.5,43.3332,155.833,1.73148,-4.66668
