# scene=cradle krb=on dt=0.0166667 seconds=28800 sample_every=600 e0=13.2716 velocity_iterations=8 position_iterations=3
t_s,ke,pe,e_total,e_over_e0,peak_height
0,0,13.2716,13.2716,1,1.35425
10,6.64293,6.19341,12.8363,0.967201,0.686573
20,13.1835,-0.654655,12.5289,0.944034,-0.0126569
30,5.49089,6.99421,12.4851,0.940736,0.772459
40,0.121516,12.5738,12.6953,0.956572,1.34209
50,7.73094,5.21447,12.9454,0.975419,0.585734
60,13.0823,-0.543248,12.539,0.9448,0.000103951
70,4.705,7.8787,12.5837,0.948164,0.856791
80,0.371837,12.4059,12.7778,0.962787,1.32223
90,8.96651,4.04049,13.007,0.98006,0.462798
100,12.6941,-0.0592829,12.6348,0.952014,0.0415622
110,3.70587,8.87803,12.5839,0.94818,0.962973
120,0.695014,12.1258,12.8208,0.966033,1.29334
130,9.95261,3.03638,12.989,0.978703,0.361898
140,12.173,0.445591,12.6186,0.950795,0.0928966
150,2.69725,9.97815,12.6754,0.955074,1.0735
160,1.27188,11.6165,12.8884,0.971125,1.24094
170,10.7496,2.25833,13.008,0.980133,0.278046
180,11.6172,0.973527,12.5907,0.948694,0.149059
190,1.93702,10.7617,12.6987,0.956831,1.15168
200,2.13443,10.866,13.0005,0.979568,1.16197
210,11.6963,1.33794,13.0342,0.982111,0.184929
220,10.4776,2.20814,12.6857,0.955851,0.269443
230,1.12811,11.6504,12.7785,0.962846,1.24529
240,3.43732,9.62604,13.0634,0.984306,1.03407
250,12.8734,0.24122,13.1146,0.988166,0.06197
260,8.6097,4.1436,12.7533,0.960944,0.467332
270,0.419542,12.5252,12.9448,0.97537,1.33471
280,5.9769,7.30114,13.278,1.00048,0.791524
290,13.5079,-0.34805,13.1598,0.991577,-0.0045414
300,5.50372,7.899,13.4027,1.00988,0.847922
310,0.864468,13.1235,13.988,1.05398,1.39363
320,10.7711,3.59258,14.3636,1.08228,0.392039
330,13.4368,0.318789,13.7556,1.03646,0.0895194
340,2.38215,11.3575,13.7397,1.03526,1.21307
350,2.342,11.6788,14.0208,1.05645,1.24972
360,13.5277,0.641912,14.1696,1.06766,0.117735
370,9.77329,3.93542,13.7087,1.03293,0.455571
380,0.198617,13.665,13.8636,1.04461,1.45079
390,6.40555,7.72607,14.1316,1.0648,0.845547
400,14.4139,-0.668445,13.7455,1.0357,-0.0126979
410,5.23694,8.49822,13.7352,1.03493,0.922733
420,0.531751,13.4706,14.0024,1.05506,1.42848
430,10.9838,3.18297,14.1668,1.06745,0.378907
440,12.5686,1.16287,13.7314,1.03465,0.171202
450,1.56351,12.2511,13.8147,1.04092,1.30581
460,3.35619,10.7512,14.1074,1.06297,1.15319
470,14.2123,-0.0170483,14.1952,1.06959,0.0493554
480,8.49132,5.24839,13.7397,1.03527,0.590585
490,0.0356988,13.9188,13.9545,1.05145,1.47307
500,7.77389,6.42642,14.2003,1.06997,0.707354
510,14.1894,-0.397775,13.7916,1.03918,0.00954795
520,4.00161,9.79107,13.7927,1.03926,1.05319
530,1.16152,12.8552,14.0167,1.05614,1.3717
540,12.1749,2.02413,14.199,1.06987,0.257751
550,11.5185,2.16342,13.6819,1.03091,0.278708
560,0.851429,13.038,13.8894,1.04655,1.383
570,4.57388,9.53284,14.1067,1.06292,1.03023
580,14.6633,-0.485769,14.1776,1.06826,0.00358355
590,7.09674,6.67022,13.767,1.03732,0.733654
600,0.0949426,13.8585,13.9534,1.05137,1.47128
610,9.19691,4.98949,14.1864,1.06893,0.562286
620,13.6679,0.101379,13.7693,1.03749,0.0626304
630,2.8432,10.9611,13.8043,1.04013,1.17275
640,1.9923,12.1096,14.1019,1.06256,1.2904
650,13.2158,0.986707,14.2025,1.07014,0.151368
660,10.273,3.48821,13.7612,1.03689,0.40889
670,0.343628,13.5676,13.9112,1.04819,1.43866
680,5.94087,8.24853,14.1894,1.06915,0.894818
690,14.441,-0.639325,13.8017,1.03994,-0.0121076
700,5.72026,8.05983,13.7801,1.03831,0.877409
710,0.400326,13.6188,14.0191,1.05632,1.44359
720,10.5833,3.61356,14.1969,1.06972,0.423255
730,12.8685,0.899975,13.7685,1.03744,0.143816
740,1.83847,12.0183,13.8568,1.04409,1.27868
750,3.02818,11.1087,14.1369,1.06519,1.18752
760,14.0315,0.182037,14.2135,1.07097,0.0676143
770,8.90224,4.85437,13.7566,1.03654,0.548789
780,0.0748981,13.8766,13.9515,1.05123,1.46955
790,7.37379,6.81569,14.1895,1.06916,0.748384
800,14.2892,-0.503241,13.786,1.03876,-0.00130773
810,4.35364,9.46041,13.814,1.04087,1.01722
820,0.977727,13.0829,14.0606,1.05945,1.39052
830,11.8615,2.35627,14.2178,1.07129,0.292415
840,11.8313,1.9277,13.759,1.03672,0.249506
850,1.03215,12.8447,13.8769,1.0456,1.36432
860,4.23565,9.8851,14.1208,1.06398,1.06456
