# krb=on dt=0.0166667 warmup_steps=100 timed_steps=1000 repeats=3 build=native_g++ product_note=WASM_shipped_numbers_are_native_ablation
scene,krb,repeat,mean_ms,p95_ms,notes
floor-bounce,on,0,0.0189276,0.029392,dataset-a-scene
floor-bounce,on,1,0.00449994,0.008965,dataset-a-scene
floor-bounce,on,2,0.005588,0.009768,dataset-a-scene
bounce-circle,on,0,0.0128219,0.018134,dataset-a-scene
bounce-circle,on,1,0.0126346,0.016703,dataset-a-scene
bounce-circle,on,2,0.0137086,0.018732,dataset-a-scene
cradle,on,0,0.050374,0.077065,dataset-a-scene
cradle,on,1,0.0514731,0.086128,dataset-a-scene
cradle,on,2,0.0520776,0.079659,dataset-a-scene
large-stack,on,0,0.452593,0.609264,not-dataset-a
large-stack,on,1,0.444507,0.609029,not-dataset-a
large-stack,on,2,0.44823,0.631141,not-dataset-a
