# krb=off dt=0.0166667 warmup_steps=100 timed_steps=1000 repeats=3 build=native_g++ product_note=WASM_shipped_numbers_are_native_ablation
scene,krb,repeat,mean_ms,p95_ms,notes
floor-bounce,off,0,0.018645,0.029662,dataset-a-scene
floor-bounce,off,1,0.00500561,0.006109,dataset-a-scene
floor-bounce,off,2,0.00507862,0.005891,dataset-a-scene
bounce-circle,off,0,0.00594671,0.014906,dataset-a-scene
bounce-circle,off,1,0.00802287,0.019406,dataset-a-scene
bounce-circle,off,2,0.00584901,0.016026,dataset-a-scene
cradle,off,0,0.0503854,0.071589,dataset-a-scene
cradle,off,1,0.0534433,0.084391,dataset-a-scene
cradle,off,2,0.0509329,0.074043,dataset-a-scene
large-stack,off,0,0.42657,0.594446,not-dataset-a
large-stack,off,1,0.432383,0.615409,not-dataset-a
large-stack,off,2,0.419064,0.574696,not-dataset-a
